constructed_group_id,regime,size,members,anchors,n_examples,n_train,n_val,n_test,heterogeneity
est_002249,established,5,372|453|773|993|1011,372|453,2,2,0,0,0.5026
est_002250,established,2,375|394,375|394,2,2,0,0,0.4785
est_002251,established,2,376|1155,376|1155,2,2,0,0,0.3991
est_002252,established,2,379|511,379|511,2,2,0,0,0.8159
est_002253,established,2,379|950,379|950,2,1,0,1,0.159
est_002254,established,3,203|382|558,382|558,2,2,0,0,0.7721
est_002255,established,2,382|558,382|558,2,1,1,0,0.3166
est_002256,established,2,383|1079,383,2,2,0,0,0.291
est_002257,established,2,142|383,383,2,1,1,0,0.2057
est_002258,established,4,249|383|908|1327,383,2,1,1,0,0.0975
est_002259,established,2,294|393,393,2,1,0,1,0.5533
est_002260,established,4,32|393|415|1277,393|415,2,2,0,0,0.5742
est_002261,established,2,393|802,393|802,2,1,0,1,0.7927
est_002262,established,2,331|394,394,2,2,0,0,0.8896
est_002263,established,2,400|860,400|860,2,2,0,0,0.2477
est_002264,established,4,400|452|663|985,400|452,2,2,0,0,0.2254
est_002265,established,4,249|401|893|1149,401,2,1,1,0,0.2163
est_002266,established,2,401|653,401,2,1,1,0,0.4514
est_002267,established,2,401|828,401|828,2,1,0,1,0.0493
est_002268,established,2,401|893,401,2,1,0,1,0.3358
est_002269,established,2,401|1149,401,2,2,0,0,0.1881
est_002270,established,2,402|1558,402,2,1,0,1,0.2155
est_002271,established,5,32|403|768|1277|1291,403,2,2,0,0,0.4672
est_002272,established,4,33|40|404|1333,404,2,1,0,1,0.7531
est_002273,established,2,106|407,407,2,1,0,1,0.9422
est_002274,established,3,409|663|1499,409,2,2,0,0,0.4898
est_002275,established,2,409|663,409,2,2,0,0,0.5605
est_002276,established,2,410|1414,410|1414,2,1,0,1,0.4188
est_002277,established,3,411|955|1647,411|955,2,1,1,0,0.4352
est_002278,established,3,411|663|831,411|831,2,2,0,0,0.6263
est_002279,established,2,411|553,411|553,2,2,0,0,0.3289
est_002280,established,2,413|1386,413|1386,2,1,1,0,0.5828
est_002281,established,5,223|319|383|413|1004,413|1004,2,2,0,0,0.2305
est_002282,established,2,413|828,413|828,2,1,0,1,0.2225
est_002283,established,2,413|884,413|884,2,1,0,1,0.1566
est_002284,established,5,269|415|868|1010|1277,415,2,2,0,0,0.5692
est_002285,established,3,417|606|1111,417,2,2,0,0,0.6968
est_002286,established,2,417|606,417,2,1,1,0,0.5983
est_002287,established,2,319|418,418,2,1,1,0,0.2277
est_002288,established,4,418|950|1005|1468,418|1005,2,2,0,0,0.4827
est_002289,established,2,421|1597,421,2,1,1,0,0.469
est_002290,established,2,422|662,422,2,2,0,0,0.9886
est_002291,established,4,316|424|460|1561,424|1561,2,2,0,0,0.3919
est_002292,established,2,424|1494,424,2,1,1,0,0.9476
est_002293,established,2,424|1116,424,2,2,0,0,0.3175
est_002294,established,3,424|891|1455,424,2,2,0,0,0.4914
est_002295,established,2,424|794,424,2,1,0,1,0.6518
est_002296,established,2,424|1043,424|1043,2,2,0,0,0.3926
est_002297,established,4,318|424|441|1547,424|441,2,2,0,0,0.311
est_002298,established,4,424|655|794|896,424|794,2,2,0,0,0.4162
